Feature,Importance
pca_4,35.280457
pca_6,34.098
pca_5,30.829483
K1,27.68819
K20,27.094263
K3,26.901506
K10,26.889647
K24,26.785133
K25,26.50226
K9,25.728724
K18,25.708078
K15,25.651953
K21,25.542852
K17,25.201357
K14,25.160969
K6,25.09407
K7,25.023573
K5,24.777464
K4,24.61419
pca_3,24.580294
K11,24.377382
K8,24.254274
K23,24.183687
K22,23.943857
K13,23.529081
K19,23.388327
K12,23.309328
K0,22.98902
pca_1,22.628052
pca_2,22.3033
