Feature,Importance
pca_4,31.722208
pca_6,29.51708
K11,28.97356
K24,28.237194
K20,27.326103
K19,27.21237
K10,27.099522
K21,27.01223
K25,26.471792
K9,26.161932
pca_5,25.89238
K4,25.500566
K14,25.336975
K12,25.112614
pca_3,25.102062
K15,25.036848
K0,24.774233
K18,24.75991
K22,24.74615
K6,24.473457
pca_1,24.394873
K1,24.37903
K13,24.107853
K3,24.04255
K8,23.847666
K17,23.772287
K23,23.694426
K5,23.678968
K7,23.320456
pca_2,22.724766
