Feature,Importance
K25,30.340448
pca_4,30.075853
pca_6,29.504208
K11,29.376112
K21,29.078966
K20,29.061382
K10,28.30445
pca_5,27.579344
K1,26.921516
K24,26.76487
K13,26.646687
K18,26.336311
K6,26.17887
K19,25.825224
K17,25.639997
K4,25.604843
K22,25.50224
K7,25.472897
K0,25.117733
K8,25.107368
K3,24.555616
K14,24.44792
K5,24.42643
K9,24.161432
K12,24.086233
K15,23.960922
pca_3,23.336596
pca_2,23.013584
K23,22.517864
pca_1,22.082718
