Feature,Importance
K20,27.521555
K6,27.256922
K8,27.078346
pca_6,26.956566
pca_4,26.775671
K9,26.428213
K5,26.328886
K11,26.302633
K7,26.292677
K22,26.288961
K4,26.253532
K12,26.229767
K25,26.227966
K1,26.079062
K17,26.078264
K13,26.005415
K15,25.896276
K3,25.812916
K10,25.790089
K24,25.74651
pca_5,25.678122
K21,25.619305
K19,25.580526
pca_1,25.562624
pca_3,25.475933
K18,25.353567
K0,25.257372
K14,23.984766
pca_2,22.92928
K23,22.928673
